time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
2023-09-28T11:16:49.631Z	62.2043	-148.9701	32.6	1.2	ml				0.15	ak	ak023cgdacrn	2023-09-28T11:18:34.319Z	46 km E of Susitna North, Alaska	earthquake		0.5			automatic	ak	ak
2023-09-28T11:16:44.404Z	-6.594	129.6119	153.495	4.6	mb	48	95	2.078	0.72	us	us6000lbcv	2023-09-28T13:24:26.040Z	Banda Sea	earthquake	9.16	6.455	0.077	50	reviewed	us	us
2023-09-28T11:15:02.520Z	46.266	-122.9766667	9	0.48	md	3	296	0.1847	0.05	uw	uw61502798	2023-09-28T16:43:58.250Z	5 km W of Castle Rock, Washington	earthquake	0.97	2.72	0.168555186	3	reviewed	uw	uw
2023-09-28T11:13:23.580Z	31.611	-104.541	5.7459	2.6	ml(texnet)	20	75	0.1	0.2	tx	tx2023taec	2023-09-28T16:59:33.824Z	64 km SSW of Whites City, New Mexico	earthquake	1.975792663	1.785301842	0.1	7	reviewed	tx	tx
2023-09-28T10:58:20.800Z	46.1925	-122.1846667	2.89	0.24	ml	9	137	0.007724	0.11	uw	uw61953887	2023-09-28T15:38:24.150Z	37 km NNE of Amboy, Washington	earthquake	0.6	0.93	0.094653466	5	reviewed	uw	uw
2023-09-28T10:50:20.266Z	32.2341	-110.4897	5	3.1	ml	22	126	0.261	0.99	us	us6000lbcm	2023-09-28T19:14:34.262Z	23 km E of Tanque Verde, Arizona	earthquake	2.11	1.954	0.057	40	reviewed	us	us
2023-09-28T10:45:21.670Z	19.15766716	-155.4774933	31.47999954	1.72000003	md	37	127		0.119999997	hv	hv73587222	2023-09-28T10:48:31.090Z	Island of Hawaii, Hawaii	earthquake	0.51	0.879999995	0.620000005	5	automatic	hv	hv
2023-09-28T10:36:42.810Z	37.3041667	-122.0795	4.89	0.8	md	18	84	0.006344	0.13	nc	nc73942981	2023-09-28T10:57:22.134Z	5 km WSW of Cupertino, CA	earthquake	0.31	0.3	0.314	12	reviewed	nc	nc
2023-09-28T10:36:20.110Z	17.9355	-66.289	7.34	2.58	md	11	195	0.1759	0.2	pr	pr71426338	2023-09-28T11:08:35.750Z	4 km SSE of Salinas, Puerto Rico	earthquake	0.78	1.33	0.16897483	10	reviewed	pr	pr
2023-09-28T10:34:42.310Z	17.95016667	-66.29233333	11.94	2.69	md	16	187	0.1096	0.26	pr	pr71426333	2023-09-28T10:55:03.350Z	3 km S of Salinas, Puerto Rico	earthquake	0.64	0.54	0.171338756	10	reviewed	pr	pr
2023-09-28T10:29:04.220Z	19.17983246	-155.4924927	32.81000137	1.91999996	md	43	90		0.109999999	hv	hv73587212	2023-09-28T10:32:18.000Z	2 km SSW of PÄhala, Hawaii	earthquake	0.62	0.99000001	0.75999999	8	automatic	hv	hv
2023-09-28T10:25:58.940Z	17.92916667	-66.27466667	9.23	2.96	md	24	197	0.1587	0.36	pr	pr71426323	2023-09-28T10:53:47.800Z	5 km SSE of Salinas, Puerto Rico	earthquake	0.71	0.98	0.285546825	14	reviewed	pr	pr
2023-09-28T10:17:24.391Z	31.75	-104.181	6.4915	2.3	ml(texnet)	18	57	0	0.1	tx	tx2023tace	2023-09-28T12:23:00.785Z	50 km SSE of Whites City, New Mexico	earthquake	0.579976622	0.70307622	0.1	6	reviewed	tx	tx
2023-09-28T10:09:46.880Z	38.8370018	-122.7993317	2.07	0.53	md	11	68	0.007158	0.01	nc	nc73942976	2023-09-28T10:11:21.558Z	7 km WNW of Cobb, CA	earthquake	0.3	0.87	0.39	13	automatic	nc	nc
2023-09-28T10:09:10.350Z	38.8139992	-122.8266678	2.23	1.41	md	28	47	0.005486	0.03	nc	nc73942971	2023-09-28T15:14:42.623Z	7 km NW of The Geysers, CA	earthquake	0.2	0.36	0.11	28	automatic	nc	nc
2023-09-28T10:00:40.153Z	61.2603	-147.0784	22.6	1.3	ml				0.34	ak	ak023cgclgz3	2023-09-28T10:02:59.042Z	41 km WNW of Valdez, Alaska	earthquake		3.2			automatic	ak	ak
2023-09-28T09:59:23.593Z	65.0181	-147.0335	0.4	1.2	ml				0.91	ak	ak023cgccnby	2023-09-28T10:02:51.649Z	16 km N of Two Rivers, Alaska	earthquake		4.4			automatic	ak	ak
2023-09-28T09:59:17.030Z	34.426	-119.173	4.85	1.65	ml	36	58	0.0313	0.27	ci	ci40573768	2023-09-28T18:11:20.210Z	7 km ESE of Ojai, CA	earthquake	0.32	0.6	0.134	18	reviewed	ci	ci
2023-09-28T09:55:15.910Z	34.97266667	-97.557	4.78	1.38	ml	72	52	0.066586933	0.33	ok	ok2023tabm	2023-09-28T12:36:35.965Z	9 km SE of Dibble, Oklahoma	earthquake		0.6	0.23	26	reviewed	ok	ok
2023-09-28T09:46:01.440Z	44.7856667	-110.7945	5.02	0.13	md	5	216	0.03997	0.07	uu	uu60551027	2023-09-28T15:29:31.040Z	22 km SSW of Mammoth, Wyoming	earthquake	1.14	1.36	0.197	5	reviewed	uu	uu
2023-09-28T09:34:06.690Z	17.94583333	-66.28083333	11.3	2.7	md	18	189	0.1551	0.31	pr	pr71426318	2023-09-28T09:50:22.480Z	3 km SSE of Salinas, Puerto Rico	earthquake	0.61	0.69	0.135889917	12	reviewed	pr	pr
2023-09-28T09:26:54.494Z	31.744	-104.18	5.4117	3.1	ml(texnet)	15	60	0	0.2	tx	tx2023taap	2023-09-28T09:46:36.341Z	51 km SSE of Whites City, New Mexico	earthquake	0.706728427	0.95215798	0.2	9	reviewed	tx	tx
2023-09-28T09:25:58.102Z	59.6752	-153.2981	109.9	2.6	ml				0.28	ak	ak023cgc5fmi	2023-09-28T09:27:14.143Z	Southern Alaska	earthquake		0.6			automatic	ak	ak
2023-09-28T09:24:49.927Z	31.581	-104.548	6.5686	2.4	ml(texnet)	25	79	0.1	0.2	tx	tx2023taan	2023-09-28T18:17:48.990Z	65 km NNE of Van Horn, Texas	earthquake	1.839983141	2.445726724	0	7	reviewed	tx	tx
2023-09-28T09:16:48.540Z	19.15049934	-155.4816742	33.75	2.27999997	md	47	151		0.109999999	hv	hv73587172	2023-09-28T09:20:03.420Z	5 km S of PÄhala, Hawaii	earthquake	0.55	0.769999981	1.27999997	27	automatic	hv	hv
2023-09-28T09:15:54.893Z	56.9736	-154.2147	182.4	1.7	ml				0.58	ak	ak023cgc3a8x	2023-09-28T09:18:18.100Z	4 km NW of Akhiok, Alaska	earthquake		1.9			automatic	ak	ak
2023-09-28T09:13:43.990Z	46.23616667	-123.0426667	16.47	0.78	md	4	282	0.1549	0.14	uw	uw61953882	2023-09-28T16:33:54.560Z	8 km NNW of West Longview, Washington	earthquake	1.7	2.22	0.227586924	4	reviewed	uw	uw
2023-09-28T09:06:45.924Z	60.0561	-141.0951	17.8	1.3	ml				0.62	ak	ak023cgc1c40	2023-09-28T09:08:13.072Z	95 km NW of Yakutat, Alaska	earthquake		0.2			automatic	ak	ak
2023-09-28T09:05:40.098Z	-2.9004	126.5447	9.199	4.9	mb	48	60	3.72	1.3	us	us6000lbby	2023-09-28T09:49:55.040Z	112 km SE of Sanana, Indonesia	earthquake	7.21	4.134	0.096	49	reviewed	us	us
2023-09-28T08:58:30.710Z	38.8336678	-122.814003	1.37	0.8	md	12	75	0.01071	0.01	nc	nc73942966	2023-09-28T09:00:06.546Z	8 km W of Cobb, CA	earthquake	0.26	0.85	0.22	17	automatic	nc	nc
2023-09-28T08:44:16.970Z	17.93866667	-66.2825	11.33	2.64	md	13	193	0.1604	0.28	pr	pr71426298	2023-09-28T08:55:36.120Z	4 km SSE of Salinas, Puerto Rico	earthquake	0.79	0.74	0.018047019	5	reviewed	pr	pr
2023-09-28T08:42:56.100Z	46.82433333	-121.177	4.59	0.89	ml	19	108	0.2587	0.22	uw	uw61953877	2023-09-28T16:21:16.310Z	15 km SSW of Cliffdell, Washington	earthquake	0.48	0.86	0.21875776	10	reviewed	uw	uw
2023-09-28T08:36:41.660Z	62.2141	-148.9461	34.7	1.4	ml				0.44	ak	ak023cgbmbnq	2023-09-28T08:38:40.231Z	Central Alaska	earthquake		0.3			automatic	ak	ak
2023-09-28T08:34:04.456Z	31.578	-104.537	6.4144	2.4	ml(texnet)	22	74	0.1	0.2	tx	tx2023szyu	2023-09-28T11:29:00.607Z	65 km NNE of Van Horn, Texas	earthquake	1.841255782	2.39091906	0.1	7	reviewed	tx	tx
2023-09-28T08:30:04.620Z	34.47333333	-97.75433333	6.37	2.07	ml	65	47	0.143071924	0.44	ok	ok2023szyr	2023-09-28T13:08:38.961Z	7 km W of Velma, Oklahoma	earthquake		1.1	0.28	5	reviewed	ok	ok
2023-09-28T08:16:31.650Z	38.8326683	-122.8079987	2.22	1.06	md	17	47	0.009401	0.01	nc	nc73942951	2023-09-28T08:18:06.368Z	7 km W of Cobb, CA	earthquake	0.24	0.49	0.18	17	automatic	nc	nc
2023-09-28T08:12:50.000Z	38.8219986	-122.786499	1.3	0.72	md	10	78	0.009838	0.01	nc	nc73942946	2023-09-28T08:14:26.560Z	6 km W of Cobb, CA	earthquake	0.36	0.71	0.19	10	automatic	nc	nc
2023-09-28T07:58:21.700Z	47.832	-119.337	12.52	0.75	ml	5	199	0.1373	0.29	uw	uw61953872	2023-09-28T16:08:38.030Z	22 km E of Mansfield, Washington	earthquake	1.34	1.61	0.20090421	4	reviewed	uw	uw
